,sh1,p,C1,B1,Tem_1,DE1
2019-05-03,,0.0,,,,0.0
2019-05-04,,0.0,,,,0.0
2019-05-05,,0.0,,,,0.0
2019-05-06,,0.0,,,,0.0
2019-05-07,,0.0,,,,0.0
2019-05-08,,10.837333333333332,,,,0.0
2019-05-09,,40.97866666666667,,,,0.0
2019-05-10,,6.434666666666665,,,,0.0
2019-05-11,,20.066,,,,0.0
2019-05-12,,2.455333333333333,,,,0.0
2019-05-13,,14.647333333333332,,,,0.0
2019-05-14,,5.587999999999998,,,,0.0
2019-05-15,,0.0846666666666666,,,,0.0
2019-05-16,,12.446,,,,0.0
2019-05-17,,4.571999999999998,,,,0.0
2019-05-18,,0.3386666666666664,,,,0.0
2019-05-19,,19.558,,,,0.0
2019-05-20,,21.25133333333333,,,,0.0
2019-05-21,,9.059333333333331,,,,0.0
2019-05-22,,18.71133333333333,,,,0.0
2019-05-23,,15.070666666666664,,,,0.0
2019-05-24,,21.674666666666667,,,,0.0
2019-05-25,,15.747999999999998,,,,0.0
2019-05-26,,0.5926666666666662,,,,0.0
2019-05-27,,16.255999999999997,,,,0.0
2019-05-28,,10.413999999999998,,,,0.0
2019-05-29,,11.260666666666665,,,,0.0
2019-05-30,,10.837333333333332,,,,0.0
2019-05-31,,2.963333333333332,,,,0.0
2019-06-01,,12.276666666666662,,,,0.0
2019-06-02,,0.423333333333333,,,,0.0
2019-06-03,,0.0,,,,0.0
2019-06-04,,2.201333333333332,,,,0.0
2019-06-05,,0.0,,,,0.0
2019-06-06,,1.3546666666666665,,,,0.0
2019-06-07,,17.187333333333328,,,,0.0
2019-06-08,,1.3546666666666656,,,,0.0
2019-06-09,,0.0,,,,0.0
2019-06-10,,0.0,,,,0.0
2019-06-11,,0.0,,,,0.0
2019-06-12,,0.0,,,,0.0
2019-06-13,,7.365999999999999,,,,0.0
2019-06-14,,0.5926666666666662,,,,0.0
2019-06-15,,2.624666666666665,,,,0.0
2019-06-16,,1.1006666666666667,,,,0.0
2019-06-17,,0.0,,,,0.0
2019-06-18,,0.0,,,,0.0
2019-06-19,,0.0,,,,0.0
2019-06-20,,0.0,,,,0.0
2019-06-21,,0.0,,,,0.0
2019-06-22,,0.0,,,,0.0
2019-06-23,,0.0,,,,0.0
2019-06-24,,0.0,,,,0.0
2019-06-25,,0.0,,,,0.0
2019-06-26,,0.0,,,,0.0
2019-06-27,,0.0,,,,0.0
2019-06-28,,0.0,,,,0.0
2019-06-29,,0.0,,,,0.0
2019-06-30,,0.0,,,,0.0
2019-07-01,,4.910666666666665,,,,0.0
2019-07-02,,17.18733333333333,,,,0.0
2019-07-03,,15.748,,,,0.0
2019-07-04,,0.0,,,,0.0
2019-07-05,,15.917333333333334,,,,0.0
2019-07-06,,0.0,,,,0.0
2019-07-07,,0.0,,,,0.0
2019-07-08,,0.3386666666666664,,,,0.0
2019-07-09,,3.2173333333333325,,,,0.0
2019-07-10,,0.5079999999999996,,,,0.0
2019-07-11,,3.555999999999999,,,,0.369137
2019-07-12,,0.0,,,,0.0
2019-07-13,,10.413999999999998,,,,0.0
2019-07-14,,14.985999999999997,,,,0.0
2019-07-15,,9.482666666666665,,,,0.0
2019-07-16,,1.947333333333333,,,,0.0
2019-07-17,,0.0,,,,0.0
2019-07-18,,0.0,,,,0.369137
2019-07-19,,0.5926666666666662,,,,0.0
2019-07-20,,0.0,,,,0.0
2019-07-21,,2.031999999999999,,,,0.0
2019-07-22,,0.5079999999999997,,,,0.0
2019-07-23,,14.562666666666665,,,,0.0
2019-07-24,,1.1006666666666658,,,,0.0
2019-07-25,,11.430000000000001,,,,0.0
2019-07-26,,0.0,,,,0.0
2019-07-27,,0.0,,,,0.0
2019-07-28,,0.0,,,,0.0
2019-07-29,,0.0,,,,0.0
2019-07-30,,1.777999999999999,,,,0.0
2019-07-31,,0.0,,,,0.0
2019-08-01,,0.0,,,,0.0
2019-08-02,,3.9793333333333325,,,,0.0
2019-08-03,,0.0,,,,0.0
2019-08-04,,0.0,,,,0.0
2019-08-05,,0.0,,,,0.0
2019-08-06,,0.0,,,,0.0
2019-08-07,,0.0,,,,0.0
2019-08-08,,0.0,,,,0.0
2019-08-09,,0.0,,,,0.0
2019-08-10,,0.0,,,,0.0
2019-08-11,,0.0,,,,0.0
2019-08-12,,0.0,,,,0.0
2019-08-13,,0.5079999999999997,,,,0.0
2019-08-14,,0.0,,,,0.0
2019-08-15,,0.0,,,,0.0
2019-08-16,,1.0159999999999993,,,,0.0
2019-08-17,,0.8466666666666666,,,,0.0
2019-08-18,,1.1006666666666658,,,,0.0
2019-08-19,,0.0,,,,0.0
2019-08-20,,0.0,,,,0.0
2019-08-21,,0.0,,,,5.53706
2019-08-22,,0.0,,,,0.0
2019-08-23,,0.0,,,,6.275327
2019-08-24,,0.0,,,,0.0
2019-08-25,,0.0,,,,0.0
2019-08-26,,0.0,,,,0.0
2019-08-27,,0.0,,,,0.0
2019-08-28,,0.0,,,,0.0
2019-08-29,,0.0,,,,0.0
2019-08-30,,0.0,,,,0.0
2019-08-31,,0.0,,,,0.0
2019-09-01,,1.8626666666666656,,,,0.0
2019-09-02,,4.318,,,,0.0
2019-09-03,,0.0,,,,0.0
2019-09-04,,0.0,,,,0.0
2019-09-05,,0.0,,,,0.0
2019-09-06,,6.688666666666666,,,,0.0
2019-09-07,,0.0,,,,0.0
2019-09-08,,0.0,,,,0.0
2019-09-09,,0.0,,,,0.0
2019-09-10,,0.0,,,,0.0
2019-09-11,,0.3386666666666664,,,,0.0
2019-09-12,,2.624666666666666,,,,0.0
2019-09-13,,9.482666666666665,,,,0.0
2019-09-14,,0.0,,,,0.0
2019-09-15,,0.0,,,,0.0
2019-09-16,,12.445999999999998,,,,0.0
2019-09-17,,2.116666666666666,,,,0.0
2019-09-18,,18.711333333333332,,,,0.0
2019-09-19,,11.683999999999997,,,,0.0
2019-09-20,,2.7939999999999983,,,,0.0
2019-09-21,,0.7619999999999993,,,,0.0
2019-09-22,,9.144,,,,0.0
2019-09-23,,1.5239999999999991,,,,0.0
2019-09-24,,0.0,,,,0.0
2019-09-25,,17.017999999999997,,,,0.0
2019-09-26,,13.800666666666663,,,,0.0
2019-09-27,,0.0,,,,0.0
2019-09-28,,1.4393333333333327,,,,0.0
2019-09-29,,0.0,,,,0.0
2019-09-30,,0.0,,,,0.0
2019-10-01,,6.434666666666665,,,,0.0
2019-10-02,,0.2539999999999998,,,,0.0
2019-10-03,,4.826,,,,0.0
2019-10-04,,0.0,,,,0.0
2019-10-05,,17.78,,,,0.0
2019-10-06,,0.0,,,,0.0
2019-10-07,,0.7619999999999995,,,,0.0
2019-10-08,,4.402666666666666,,,,0.0
2019-10-09,,0.0,,,,0.0
2019-10-10,,0.5079999999999996,,,,0.0
2019-10-11,,2.8786666666666654,,,,0.0
2019-10-12,,9.397999999999998,,,,0.0
2019-10-13,,7.1966666666666645,,,,0.0
2019-10-14,,6.51933333333333,,,,0.0
2019-10-15,,1.7779999999999991,,,,0.0
2019-10-16,,0.0,,,,0.0
2019-10-17,,0.0,,,,0.0
2019-10-18,,7.789333333333332,,,,0.0
2019-10-19,,5.418666666666667,,,,0.0
2019-10-20,,2.455333333333332,,,,0.0
2019-10-21,,7.873999999999998,,,,11.074117
2019-10-22,,12.530666666666667,,,,0.0
2019-10-23,,10.159999999999997,,,,0.0
2019-10-24,,16.509999999999998,,,,0.0
2019-10-25,,0.5926666666666662,,,,0.0
2019-10-26,,2.2859999999999987,,,,0.0
2019-10-27,,13.546666666666665,,,,0.0
2019-10-28,,0.5079999999999996,,,,0.0
2019-10-29,,10.837333333333332,,,,0.0
2019-10-30,,3.386666666666664,,,,0.0
2019-10-31,,9.567333333333332,,,,0.0
2019-11-01,,17.441333333333333,,,,0.0
2019-11-02,,0.0,,,,0.0
2019-11-03,,0.0,,,,0.0
2019-11-04,,0.0,,,,0.0
2019-11-05,,0.0,,,,0.0
2019-11-06,,0.762,,,,0.0
2019-11-07,,0.0,,,,0.0
2019-11-08,,1.2699999999999991,,,,0.0
2019-11-09,,0.0,,,,0.0
2019-11-10,,1.2699999999999998,,,,0.0
2019-11-11,,7.619999999999997,,,,0.0
2019-11-12,,27.177999999999994,,,,0.0
2019-11-13,,1.6086666666666645,,,,0.0
2019-11-14,,14.223999999999993,,,,0.0
2019-11-15,,10.244666666666664,,,,0.0
2019-11-16,,0.0,,,,0.0
2019-11-17,,0.2539999999999998,,,,0.0
2019-11-18,,0.0,,,,0.0
2019-11-19,,0.0,,,,0.0
2019-11-20,,0.2539999999999998,,,,0.0
2019-11-21,,0.2539999999999998,,,,14.396374
2019-11-22,,4.825999999999997,,,,0.0
2019-11-23,,1.0159999999999985,,,,0.0
2019-11-24,,0.0,,,,0.0
2019-11-25,,0.0,,,,0.369137
2019-11-26,,0.0,,,,2.9530969999999996
2019-11-27,,0.1693333333333332,,,,1.107411
2019-11-28,,0.4233333333333327,,,,0.0
2019-11-29,,0.0,,,,0.0
2019-11-30,,0.0,,,,0.0
2019-12-01,,0.0,,,,0.0
